bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
AD Russell,middle,1221,813,51,9.011070110701107,15.941176470588236,8.72845788612518,1221.7622103615497,2025
AF Milne,middle,86,54,1,9.555555555555555,54.0,7.985082526964584,0.5134574359319185,2021
AG Murtaza,middle,213,162,9,7.888888888888889,18.0,7.703881090235803,43.10814200142787,2013
AJ Finch,middle,57,30,1,11.399999999999999,30.0,8.063491329840806,0.5084646131914355,2013
AJ Hosein,middle,68,48,4,8.5,12.0,7.737800614050129,8.477861251798728,2026
AJ Tye,middle,275,204,8,8.088235294117649,25.5,7.825277065699703,33.53235902025372,2022
AK Markram,middle,266,168,5,9.5,33.6,8.452577270562484,12.126478909216647,2026
AL Menaria,middle,41,42,2,5.857142857142857,21.0,7.25014999668431,2.262022166093138,2012
AM Ghazanfar,middle,118,78,4,9.076923076923077,19.5,7.986393953165501,8.21396995749235,2026
AM Nayar,middle,293,217,8,8.101382488479263,27.125,7.840498905859664,33.467258034293344,2013
AM Salvi,middle,72,54,4,8.0,13.5,7.647733129374222,8.577705169658257,2011
AN Ahmed,middle,144,114,3,7.578947368421052,38.0,7.560794657651074,4.880439381151477,2015
AP Dole,middle,29,24,2,7.25,12.0,7.517285612850143,2.1816385387786292,2010
AR Patel,middle,2875,2435,99,7.084188911704312,24.595959595959595,7.118739752552921,5644.833411080828,2026
AS Joseph,middle,304,198,7,9.212121212121211,28.285714285714285,8.3874950361684,23.952324160393868,2024
AS Rajpoot,middle,202,157,6,7.7197452229299355,26.166666666666668,7.625811219358469,19.355317848061944,2020
AS Roy,middle,164,138,8,7.130434782608695,17.25,7.376232880523068,35.57371415060211,2026
AU Rashid,middle,81,54,2,9.0,27.0,7.86460059925374,2.085293435188072,2023
AUK Pathan,middle,29,24,0,7.25,999.0,7.517285612850143,0.0,2011
Abdul Samad,middle,93,48,2,11.625,24.0,8.355084564667413,1.9628766020338688,2022
Abhinandan Singh,middle,35,24,1,8.75,24.0,7.681669174493979,0.5337381637852274,2026
Abhishek Sharma,middle,362,258,10,8.418604651162791,25.8,8.04478046184146,50.96472202625533,2026
Akash Deep,middle,208,114,4,10.94736842105263,28.5,8.803513104253014,7.451570665386794,2025
Akash Madhwal,middle,223,138,10,9.695652173913043,13.8,8.439295943586131,48.58225173530028,2025
Akash Singh,middle,75,48,2,9.375,24.0,7.910640120222968,2.073157134031999,2025
Anand Rajan,middle,73,66,3,6.636363636363636,22.0,7.319101721127132,5.041602290276333,2013
Ankit Sharma,middle,243,198,6,7.363636363636363,33.0,7.456197326244737,19.795613439637563,2016
Ankit Soni,middle,135,102,3,7.9411764705882355,34.0,7.684463128667279,4.801896942200513,2017
Anureet Singh,middle,176,120,4,8.799999999999999,30.0,8.02630333083867,8.17312744061785,2018
Arshad Khan,middle,62,42,4,8.857142857142858,10.5,7.781795566304563,8.429931041114752,2026
Arshdeep Singh,middle,482,330,16,8.763636363636364,20.625,8.31292485564606,126.2612159049076,2026
Ashok Sharma,middle,73,54,1,8.11111111111111,54.0,7.671829514916391,0.5344227204252051,2026
Ashwani Kumar,middle,153,102,8,9.0,12.75,8.048099492303642,32.6039706953091,2026
Avesh Khan,middle,662,492,27,8.073170731707316,18.22222222222222,7.924724234664018,377.16138902677153,2026
Azhar Mahmood,middle,201,186,7,6.483870967741935,26.571428571428573,7.029620864079217,28.579066194961158,2015
Azmatullah Omarzai,middle,106,78,6,8.153846153846153,13.0,7.722657689429237,19.112591278263526,2025
B Akhil,middle,136,132,5,6.181818181818182,26.4,6.997815135211565,14.647428950250644,2011
B Kumar,middle,620,446,12,8.340807174887892,37.166666666666664,8.100289468352857,72.88628416387373,2026
B Laughlin,middle,80,61,2,7.868852459016393,30.5,7.626115426617896,2.150505084509746,2018
B Lee,middle,73,78,4,5.615384615384615,19.5,6.997382964154511,9.374933505290345,2013
B Stanlake,middle,77,54,5,8.555555555555555,10.8,7.768215057085066,13.194794331358528,2018
BA Bhatt,middle,190,137,7,8.321167883211679,19.571428571428573,7.8683299675125955,25.53273703943433,2013
BA Stokes,middle,371,299,6,7.4448160535117065,49.833333333333336,7.486407994360691,19.715730175430338,2021
BAW Mendis,middle,154,132,4,7.0,33.0,7.328090364569363,8.951854676515714,2013
BB Sran,middle,259,168,7,9.25,24.0,8.336874791223641,24.097759056126232,2019
BCJ Cutting,middle,212,163,9,7.803680981595092,18.11111111111111,7.665602092777044,43.32340708278128,2019
BE Hendricks,middle,49,36,2,8.166666666666668,18.0,7.64625778880598,2.144840058101282,2015
BJ Hodge,middle,224,180,15,7.466666666666667,12.0,7.510094797904484,122.83466784698935,2012
BMAJ Mendis,middle,36,30,1,7.199999999999999,30.0,7.503491329840807,0.5464123059214603,2013
BW Hilfenhaus,middle,53,36,3,8.833333333333334,12.0,7.750153892702084,4.761195778931151,2014
Basil Thampi,middle,263,186,8,8.483870967741936,23.25,8.005998816835122,32.775423279881295,2022
Bipul Sharma,middle,406,318,16,7.660377358490566,19.875,7.618490349345383,137.7700767305148,2017
Brijesh Sharma,middle,73,54,3,8.11111111111111,18.0,7.671829514916391,4.809804483826847,2026
C Bosch,middle,66,36,0,11.0,999.0,8.087816230364421,0.0,2026
C Green,middle,339,258,14,7.883720930232558,18.428571428571427,7.740144700252056,103.82234843411014,2026
C Nanda,middle,49,42,2,7.0,21.0,7.45268164225393,2.2005501894805364,2009
C Sakariya,middle,175,120,6,8.75,20.0,8.007255711791053,18.433281677598004,2025
C de Grandhomme,middle,258,190,7,8.147368421052631,27.142857142857142,7.844897530426445,25.60900244022424,2019
CH Gayle,middle,334,282,7,7.1063829787234045,40.285714285714285,7.287810375711072,27.56657893701003,2016
CH Morris,middle,501,396,18,7.590909090909091,22.0,7.577471318467312,175.3091426110068,2021
CJ Anderson,middle,199,138,5,8.652173913043478,27.6,8.006863511153698,12.801517080591637,2018
CJ Jordan,middle,309,246,12,7.536585365853659,20.5,7.542597617265718,78.27542047961283,2023
CK Langeveldt,middle,35,24,3,8.75,8.0,7.681669174493979,4.803643474067046,2011
CL White,middle,81,42,1,11.571428571428571,42.0,8.26280822453241,0.4961993415055954,2013
CR Brathwaite,middle,242,174,8,8.344827586206897,21.75,7.924893087301305,33.110856778681935,2019
CR Woakes,middle,130,120,9,6.5,13.333333333333334,7.150112854648196,46.446819337139004,2018
CRD Fernando,middle,74,72,5,6.166666666666666,14.4,7.177099435259106,14.28153544821266,2010
CV Varun,middle,1615,1320,73,7.34090909090909,18.08219178082192,7.367845247006058,2965.4395915655737,2026
D Kalyankrishna,middle,69,42,2,9.857142857142858,21.0,7.959010756177981,2.0605575871687214,2008
D Pretorius,middle,86,78,4,6.615384615384616,19.5,7.2830972498687965,9.007156948396062,2023
D Salunkhe,middle,64,41,1,9.365853658536587,41.0,7.865616733958396,0.5212560106442743,2008
D Wiese,middle,246,162,3,9.11111111111111,54.0,8.2585029389753,4.468122161203527,2023
DG Nalkande,middle,95,54,5,10.555555555555555,10.8,8.201949996844101,12.49702815055436,2024
DJ Bravo,middle,1846,1507,64,7.349701393497014,23.546875,7.3726707104666165,2277.8177216241265,2022
DJ Hooda,middle,347,264,6,7.886363636363637,44.0,7.743541501555951,19.061045901328473,2025
DJ Hussey,middle,308,228,8,8.105263157894736,28.5,7.8493748208373075,33.429413932867746,2013
