batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
Mohammad Hafeez,middle,26,38,68.42105263157895,116.4157695998658,4423.7992447949,2008
Mohammad Nabi,middle,66,50,132.0,127.04030333374992,6352.015166687496,2024
N Jagadeesan,middle,87,73,119.17808219178083,123.97341162973406,9050.059048970586,2023
N Pooran,middle,1351,848,159.31603773584905,153.04398304579937,129781.29762283787,2026
N Rana,middle,1773,1293,137.122969837587,135.63499618062414,175376.05006154702,2026
N Saini,middle,53,49,108.16326530612245,122.23309146216693,5989.421481646179,2012
N Wadhera,middle,576,416,138.46153846153845,134.41059626312395,55914.80804545956,2026
NK Patel,middle,39,42,92.85714285714286,119.93617855176679,5037.319499174205,2009
NLTC Perera,middle,137,117,117.0940170940171,122.51562281015617,14334.327868788272,2016
NV Ojha,middle,645,535,120.56074766355141,121.9518826257106,65244.257204755166,2017
Naman Dhir,middle,158,100,158.0,136.69448920938552,13669.448920938552,2026
Nithish Kumar Reddy,middle,416,299,139.1304347826087,133.85602088414723,40022.95024436002,2026
OA Shah,middle,213,199,107.03517587939699,116.30678760601201,23145.05073359639,2013
P Dogra,middle,54,76,71.05263157894737,110.42389046778129,8392.215675551379,2012
P Kumar,middle,40,45,88.88888888888889,118.85364298653636,5348.413934394136,2016
P Negi,middle,104,101,102.97029702970298,117.98944025935381,11916.933466194736,2018
P Ray Barman,middle,19,23,82.6086956521739,121.2150198016914,2787.945455438902,2019
P Simran Singh,middle,518,320,161.875,148.20363945003635,47425.16462401163,2026
PA Patel,middle,846,718,117.82729805013928,119.52341108079816,85817.80915601307,2019
PA Reddy,middle,46,51,90.19607843137256,118.39379803564523,6038.083699817907,2013
PBB Rajapaksa,middle,193,134,144.02985074626866,133.20630491419067,17849.64485850155,2023
PC Valthaty,middle,147,118,124.57627118644068,125.3190872740215,14787.652298334537,2013
PD Collingwood,middle,96,92,104.34782608695652,118.90200110372379,10938.984101542588,2010
PD Salt,middle,382,212,180.18867924528303,154.11517031147108,32672.41610603187,2026
PHKD Mendis,middle,61,35,174.28571428571428,133.15162746421186,4660.306961247415,2025
PJ Cummins,middle,161,130,123.84615384615385,124.9996132823653,16249.94972670749,2025
PK Garg,middle,157,150,104.66666666666666,116.59383859932963,17489.075789899445,2023
PN Mankad,middle,34,24,141.66666666666669,127.51084162908096,3060.260199097943,2023
PP Chawla,middle,156,177,88.13559322033898,107.86256536765788,19091.674070075445,2024
PP Shaw,middle,515,341,151.02639296187684,141.83745208352374,48366.571160481595,2024
PR Shah,middle,35,39,89.74358974358975,119.76442015713131,4670.812386128121,2011
PR Veer,middle,43,28,153.57142857142858,129.2595260841647,3619.2667303566113,2026
PWH de Silva,middle,25,35,71.42857142857143,117.49945355116837,4112.480874290893,2025
Priyansh Arya,middle,225,110,204.54545454545453,154.17991579268434,16959.79073719528,2026
Q de Kock,middle,1232,922,133.62255965292843,132.25145417794872,121935.84075206872,2026
R Ashwin,middle,279,276,101.08695652173914,111.30546564069795,30720.308516832632,2025
R Bhatia,middle,91,112,81.25,109.52727790478414,12267.055125335824,2017
R Dhawan,middle,42,55,76.36363636363637,114.8994972670749,6319.47234968912,2023
R Dravid,middle,1068,930,114.83870967741936,116.73322161490553,108561.89610186215,2013
R McLaren,middle,78,95,82.10526315789474,111.46508385092663,10589.18296583803,2013
R Parag,middle,948,721,131.48404993065188,130.26733004014054,93922.74495894133,2026
R Powell,middle,183,174,105.17241379310344,116.05656996414288,20193.843173760863,2026
R Ravindra,middle,110,77,142.85714285714286,130.60615557635563,10056.673979379384,2025
R Sathish,middle,105,105,100.0,116.74958105589577,12258.706010869057,2016
R Shepherd,middle,56,37,151.35135135135135,129.84859619296864,4804.3980591398395,2026
R Tewatia,middle,332,346,95.95375722543352,106.70032221214183,36918.31148540107,2026
R Vinay Kumar,middle,48,48,100.0,120.6784951307355,5792.567766275304,2013
RA Jadeja,middle,1394,1260,110.63492063492065,112.66314386032215,141955.5612640059,2026
RA Tripathi,middle,1059,785,134.9044585987261,133.08660644568238,104472.98605986066,2025
RD Gaikwad,middle,1091,780,139.87179487179486,137.05115314540382,106899.89945341498,2026
RD Rickelton,middle,144,93,154.83870967741936,135.15581359989142,12569.490664789902,2026
